method,AUC-PR,rank,dataset,category
run2,0.8248015873015873,14,ISOT,few_shot
run20,0.8248015873015873,15,ISOT,few_shot
run6,0.8248015873015873,16,ISOT,few_shot
run8,0.8248015873015873,17,ISOT,few_shot
run3,0.812579365079365,18,ISOT,few_shot
run17,0.8083994708994707,19,ISOT,few_shot
run1-2,0.7959126984126984,20,ISOT,few_shot
run1-4,0.7686904761904761,21,ISOT,few_shot
run1-1,0.7686904761904761,22,ISOT,few_shot
run1-5,0.7527380952380952,23,ISOT,few_shot
run1-3,0.7527380952380952,24,ISOT,few_shot
run4,0.7414682539682539,25,ISOT,few_shot
run13,0.9877777777777778,1,WELFake,few_shot
run9,0.9049206349206349,2,WELFake,few_shot
run12-rf,0.8936904761904761,3,WELFake,few_shot
run20,0.8593386243386242,4,WELFake,few_shot
run7,0.838915343915344,5,WELFake,few_shot
run12-catboost,0.8380820105820105,6,WELFake,few_shot
run19,0.8309126984126984,7,WELFake,few_shot
run10,0.8302116402116401,8,WELFake,few_shot
run18,0.8237169312169312,9,WELFake,few_shot
run3,0.8237037037037037,10,WELFake,few_shot
run5,0.8112169312169312,11,WELFake,few_shot
run14,0.8014021164021164,12,WELFake,few_shot
run2,0.7981084656084656,13,WELFake,few_shot
run8,0.7981084656084656,14,WELFake,few_shot
run6,0.7981084656084656,15,WELFake,few_shot
run15,0.7981084656084656,16,WELFake,few_shot
run16,0.7919312169312169,17,WELFake,few_shot
run4,0.7760052910052909,18,WELFake,few_shot
run11,0.766626984126984,19,WELFake,few_shot
run1-5,0.715185185185185,20,WELFake,few_shot
run17,0.6987830687830687,21,WELFake,few_shot
run1-1,0.6807407407407405,22,WELFake,few_shot
run1-3,0.674589947089947,23,WELFake,few_shot
run1-2,0.6680820105820106,24,WELFake,few_shot
run1-4,0.6542989417989417,25,WELFake,few_shot
run1-1,1.0,1,BuzzFeed,one_shot
run8,1.0,2,BuzzFeed,one_shot
run6,1.0,3,BuzzFeed,one_shot
run11,1.0,4,BuzzFeed,one_shot
run3,1.0,5,BuzzFeed,one_shot
run20,1.0,6,BuzzFeed,one_shot
run2,1.0,7,BuzzFeed,one_shot
run15,1.0,8,BuzzFeed,one_shot
run1-2,1.0,9,BuzzFeed,one_shot
run4,0.875,10,BuzzFeed,one_shot
run17,0.75,11,BuzzFeed,one_shot
run7,0.75,12,BuzzFeed,one_shot
run5,0.75,13,BuzzFeed,one_shot
run9,0.75,14,BuzzFeed,one_shot
run14,0.75,15,BuzzFeed,one_shot
run13,0.75,16,BuzzFeed,one_shot
run12-rf,0.75,17,BuzzFeed,one_shot
run12-catboost,0.75,18,BuzzFeed,one_shot
run10,0.75,19,BuzzFeed,one_shot
run16,0.6666666666666666,20,BuzzFeed,one_shot
run18,0.5,21,BuzzFeed,one_shot
run19,0.5,22,BuzzFeed,one_shot
run1-5,0.5,23,BuzzFeed,one_shot
run1-4,0.5,24,BuzzFeed,one_shot
run1-3,0.5,25,BuzzFeed,one_shot
run1-1,0.75,1,ISOT,one_shot
run12-catboost,0.75,2,ISOT,one_shot
run7,0.75,3,ISOT,one_shot
run3,0.75,4,ISOT,one_shot
run18,0.75,5,ISOT,one_shot
run17,0.75,6,ISOT,one_shot
run1-2,0.75,7,ISOT,one_shot
run9,0.75,8,ISOT,one_shot
run11,0.75,9,ISOT,one_shot
run10,0.75,10,ISOT,one_shot
run1-5,0.75,11,ISOT,one_shot
run1-3,0.75,12,ISOT,one_shot
run1-4,0.75,13,ISOT,one_shot
run2,0.625,14,ISOT,one_shot
run8,0.625,15,ISOT,one_shot
run15,0.625,16,ISOT,one_shot
run6,0.625,17,ISOT,one_shot
run20,0.625,18,ISOT,one_shot
run5,0.5,19,ISOT,one_shot
run12-rf,0.5,20,ISOT,one_shot
run4,0.5,21,ISOT,one_shot
run13,0.5,22,ISOT,one_shot
run19,0.5,23,ISOT,one_shot
run14,0.5,24,ISOT,one_shot
run16,0.5,25,ISOT,one_shot
run16,1.0,1,WELFake,one_shot
run14,1.0,2,WELFake,one_shot
run8,1.0,3,WELFake,one_shot
run6,1.0,4,WELFake,one_shot
run5,1.0,5,WELFake,one_shot
run20,1.0,6,WELFake,one_shot
run2,1.0,7,WELFake,one_shot
run18,1.0,8,WELFake,one_shot
run17,1.0,9,WELFake,one_shot
run15,1.0,10,WELFake,one_shot
run9,1.0,11,WELFake,one_shot
run13,1.0,12,WELFake,one_shot
run12-rf,1.0,13,WELFake,one_shot
run4,0.875,14,WELFake,one_shot
run1-2,0.75,15,WELFake,one_shot
run12-catboost,0.75,16,WELFake,one_shot
run19,0.75,17,WELFake,one_shot
run11,0.75,18,WELFake,one_shot
run10,0.75,19,WELFake,one_shot
run3,0.75,20,WELFake,one_shot
run1-5,0.75,21,WELFake,one_shot
run1-4,0.75,22,WELFake,one_shot
run7,0.75,23,WELFake,one_shot
run1-3,0.75,24,WELFake,one_shot
run1-1,0.75,25,WELFake,one_shot
